rank,website,category,change,avg_visit_duration,pages_per_visit,bounce_rate,vertical,keywords
43,dramacool.cr,Arts & Entertainment > Streaming & Online TV,-7,00:09:45,5.09,35.30%,tv-movies-and-streaming,"watch korean drama, watch drama dramacool watch drama english sub"
44,namasha.com,Arts & Entertainment > Streaming & Online TV,+12,00:07:23,4.50,49.15%,tv-movies-and-streaming,ویدیوهای خود را به سادگی و رایگان در نماشا آپلود کرده و با دیگران به اشتراک بگذارید.
45,starplus.com,Arts & Entertainment > Streaming & Online TV,-6,00:08:24,4.58,28.46%,tv-movies-and-streaming,Star+ is not available in your region.
46,paramountplus.com,Arts & Entertainment > Streaming & Online TV,+3,00:05:28,4.01,41.30%,tv-movies-and-streaming,"Watch thousands of episodes of your favorite shows on any device. Paramount+ includes on-demand and live content from CBS, BET, Comedy Central, Nickelodeon, MTV, VH1, Paramount, and more."
47,dr.dk,Arts & Entertainment > Streaming & Online TV,=,00:05:24,3.33,38.63%,tv-movies-and-streaming,Dit Nyhedsoverblik: Breaking news og seneste nyheder - Stream DR’s programmer på DRTV - Hør podcast på DR LYD
48,raiplay.it,Arts & Entertainment > Streaming & Online TV,+27,00:04:43,3.58,39.03%,tv-movies-and-streaming,"I contenuti di RaiPlay sono gratuiti. L'offerta comprende: 14 canali TV RAI in diretta streaming, la Guida Tv per poter rivedere i programmi andati in onda e un vasto catalogo di programmi TV, serie, fiction, film, documentari, concerti, oltre a tutti i programmi di intrattenimento"
49,vidio.com,Arts & Entertainment > Streaming & Online TV,+20,00:04:46,3.57,47.64%,tv-movies-and-streaming,"Vidio, Vidio.com Video"
50,afreecatv.com,Arts & Entertainment > Streaming & Online TV,-3,00:15:52,8.64,20.52%,tv-movies-and-streaming,"Afreeca, AfreecaTV, TV, VOD, Live,Â Realtime, Video, game stream, SC, starcraft, GSL, ASL,Â esports"
1,mediafire.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:52,3.35,48.11%,file-sharing-and-hosting,"online storage, free storage, cloud Storage, collaboration, backup file Sharing, share Files, photo backup, photo sharing, ftp replacement, cross platform, remote access, mobile access, send large files, recover files, file versioning, undelete, Windows, PC, Mac, OS X, Linux, iPhone, iPad, Android"
2,imgur.io,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:11,2.45,57.90%,file-sharing-and-hosting, . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .Menu. . .Get App. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
3,imgur.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:33,4.28,53.19%,file-sharing-and-hosting,"Find, rate and share the best memes and images. Discover the magic of the Internet at Imgur."
4,mega.nz,Computers Electronics and Technology > File Sharing and Hosting,=,00:04:32,4.45,47.16%,file-sharing-and-hosting,MEGA provides free cloud storage with convenient and powerful always-on privacy. Claim your free 20GB now
5,dropbox.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:04:53,6.71,39.59%,file-sharing-and-hosting,Dropbox helps you simplify your workflow. So you can spend more time in your flow.
6,wetransfer.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:02:43,2.32,58.34%,file-sharing-and-hosting,WeTransfer is the simplest way to send your files around the world. Share large files and photos. Transfer up to 2GB free. File sharing made easy!
7,savefrom.net,Computers Electronics and Technology > File Sharing and Hosting,=,00:04:30,3.00,49.92%,file-sharing-and-hosting,"SaveFrom Video Downloader allows to download videos from the Internet in mp4 fast and free. Our downloader provides really easy video download from YouTube, TikTok, Instagram, Facebook, Vimeo, Dailymotion and much more!"
8,yts.mx,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:38,5.24,36.92%,file-sharing-and-hosting,"yts, yify, yify movies, yts movies, yts torrents, yify movies, yify torrents"
9,gofile.io,Computers Electronics and Technology > File Sharing and Hosting,+1,00:04:18,3.98,46.95%,file-sharing-and-hosting,"gofile,download,upload,free,host,storage,share,large,file,video,image,audio,cdn,direct,link"
10,zippyshare.com,Computers Electronics and Technology > File Sharing and Hosting,-1,00:03:44,4.08,48.10%,file-sharing-and-hosting,"
.
.
.
.Zippyshare.com - Free File Hosting.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.(New). Sign Up!. |
                .Username:.
.
.Password:.
.
.
.
.
.Remember Me |.
.Forgot Password?.
.
.
.
.
.
.
.
.
.Upload Files. |
            .F.A.Q. |
            .Upload Tools. |
            .Our Blog. |
            .Contact Us.
.
.
.
.
.English.
.
.Deutsch.
.Nederlands.
.Francais.
.Magyar.
.Lietuvių.
.Polski.
.Português.
.Română.
.Русский.
.Español.
.Svenska.
.Türkçe.
.
.
.
.
.Select Language:  .
.
.
.
.
.
.
.
.
.
.
.Select or Drag & Drop your files for upload. (maximum 500 MB each):.
.
.
.
.Old HTML Uploader.
.
.
.
.Overall Status:.
.
.
.
.
.
.
.
.Estimated Time Remaining: .Uploaded: . / .
.
.
.
.
.
.
.Links.
.Links + names.
.HTML.
.Alt. HTML.
.Forum links.
.Alt. Forum links.
.HTML embed links.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.100% Free.
.No Download Limits.
.Up to 500MB per File.
.Unlimited Disk Space.
.No Sign Up Required.
.
.
.
.
.
.
.
.Set as Private Upload .
.* By uploading a file You agree to the.Terms and Conditions...
.
.
.
.
.
.
.
.What Zippyshare can offer you?.
.
.
.
.
.To upload a file just follow these simple steps:.
.
.
.Benefits of using Zippyshare:.
.
.
.1). Select a file to send by clicking the ""Browse"" button. You can then select photos, audio, video, documents or anything else you want to send. The maximum file size is 500 MB..2). Click the ""Start Upload"" button to start uploading the file. You will see the progress of the file transfer. Please don't close your browser window while uploading or it will cancel the upload..3). After a succesfull upload you'll receive a unique link to the download site, which you can place anywhere: on your homepage, blog, forum or send it via IM or e-mail to your friends..
.
.
.
.Zippyshare.com is completely free, reliable and popular way to store       files online..
.We offer fast download speeds..
.The maximum filesize for a single file is 500 MB..
.The file can be downloaded at any time and as often as you need it..
.File Life: 30 days after no activity..
.No ridiculous queues!.
.No limits!.
.
.
.
.
.
.
.
.
.
.
.© 2006-2022 Zippyshare.com. All rights reserved..
.Terms and Conditions. .|. .DMCA Policy.
.
.
.
.
.
.
.
.
.
.
.
"
11,box.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:07:04,7.58,26.89%,file-sharing-and-hosting,"file sharing, cloud storage, online file storage, apps, application platform, ECM"
12,rutracker.org,Computers Electronics and Technology > File Sharing and Hosting,+1,00:06:26,6.90,23.92%,file-sharing-and-hosting,Крупнейший русскоязычный битторрент трекер
13,terabox.com,Computers Electronics and Technology > File Sharing and Hosting,-2,00:05:54,6.18,24.50%,file-sharing-and-hosting,"cloud storage,terabox,free cloud storage,share files,file transfer,upload file,best cloud storage,send large files,cloud backup,share files online,online file transfer,cloud drive"
14,rarbg.to,Computers Electronics and Technology > File Sharing and Hosting,+1,00:05:19,9.97,33.17%,file-sharing-and-hosting,
15,watchasian.la,Computers Electronics and Technology > File Sharing and Hosting,=,00:10:43,4.76,34.32%,file-sharing-and-hosting,"watchasian , Korean Dramas , Japan Dramas"
16,1fichier.com,Computers Electronics and Technology > File Sharing and Hosting,+1,00:03:51,2.71,35.68%,file-sharing-and-hosting,"
.
.
.1fichier.com: Cloud Storage.
.
.
.
.
.
.
.
.
.
.
.
.
.
.Our website need cookies to work.
	.Using our services, you accept usage of cookies.
	.For more informations :
	.Legal Mentions, Terms of Services, Privacy Policy.
.I fully accept usage of cookies and the Terms of Services.
.
.
.
.
.
.
.English.
.Français.
.
.Prices.
.Register.
.My Account.
.
.
.
.
.
.Upload progress :.
.
.
.In order for the upload of your files to be correct,.please do not leave this page..
.
.
.
.
.Click here to select the files to send.
.
.
.
.
.Send files over a secure SSL connection :
						.
.
.
.
.Host files on the following domain
						.
.
.1fichier.com.
.alterupload.com.
.cjoint.net.
.desfichiers.com.
.dfichiers.com.
.megadl.fr.
.mesfichiers.org.
.piecejointe.net.
.pjointe.com.
.tenvoi.com.
.dl4free.com.
.
.
.
.
.Receive the notice by email .(optional).
.
.Protect the download by a password .(optional).
.
.Upload to the following registered user .(optional).
.
. Send the download link to contacts.
.
.
.Email addresses  .(optional, 1 per line - 20 max.).
.
. 
            .
.Message  .(optional, 2000 car. max.).
.
.
.
.
.
.
.
					Sending files & using our services implies acceptance of our .Terms of Use..
          .Files can be removed after 15 days without downloads for guests, 30 days for registered users
					.Files of premium users are not subject to this rule.
          .File size is limited to 300GB. Storage capacity is not limited.
				.
.
.
.
.
.
.
.
.
.
.Storage.Store and archive all types of content on high quality secured infrastructures.
.Access.Access your data securely from everywhere.
.Green Power.100% of the energy used for our infrastructures is from renewable sources.
.Groupware.Share your data in a totally secure way with the people of your choice.
.Prices.Packages and features adapted to all needs and all budgets.
.
.
.
.
.
.
.
.Legal & Terms.   
			.Abuse.   
			.Prices.   
			.Resellers.   
			.Help.   
			.Speedtest.   
			.Contact.
.
.   
      .   
			.API.   
      .DStorage SASU © 2009-2022.
.
.
.
.
.
.
"
17,trontv.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:47,4.55,15.93%,file-sharing-and-hosting,"Viral,free,videos,movie,previews,video game,reviews,TRON,TronTV,token,crypto,Justin Sun"
18,rapidgator.net,Computers Electronics and Technology > File Sharing and Hosting,=,00:04:59,4.39,29.09%,file-sharing-and-hosting,"file hosting, cloud hosting, safe and secure hosting, file sharing"
19,ckk.ai,Computers Electronics and Technology > File Sharing and Hosting,=,00:02:35,5.35,35.67%,file-sharing-and-hosting,"insurance,healthcare,attorney,medical,lawsuits,business,finance,economics,consultant,consultancy,marketing"
20,1377x.to,Computers Electronics and Technology > File Sharing and Hosting,=,00:05:00,8.72,20.27%,file-sharing-and-hosting,"1377x.to - Download verified torrents: movies, music, games, software | 1337x.org | 1337x.to"
21,thepiratebay.org,Computers Electronics and Technology > File Sharing and Hosting,-1,00:03:53,4.54,23.67%,file-sharing-and-hosting,"mp3, avi, bittorrent, torrent, torrents, movies, music, games, applications, apps, download, upload, share, kopimi, magnets, magnet"
22,utorrent.com,Computers Electronics and Technology > File Sharing and Hosting,-5,00:01:24,1.93,68.50%,file-sharing-and-hosting,"Âµtorrent, utorrent, torrent, torrents, torrent client, torrent downloader, torrent software, utorrent web, utweb, mac torrent, download torrent"
23,katfile.com,Computers Electronics and Technology > File Sharing and Hosting,+2,00:04:12,3.17,30.06%,file-sharing-and-hosting,"online storage, free storage, cloud storage, online backup"
24,anonfiles.com,Computers Electronics and Technology > File Sharing and Hosting,-1,00:02:38,2.63,51.16%,file-sharing-and-hosting,"
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.Anonymous File Upload - AnonFiles.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.We need your help!.
.
                    Read more here..
.UPDATE: You can now securely donate with your credit card!.
.
.
.
.
.
.
.
.Anonymous File Upload.
.
.
.
.
.
.
.
.Javascript is disabled. For a better experience, enable Javascript..
.
.
.
.
.
.
.
.
.
.
.
.
.
.Upload your files anonymously and free on AnonFiles.
.We offer you 20 GB filesize limit and unlimited bandwidth..
.
.
.
.
.
.
.Developer? Check out our .API.
.
.
.
.
.
.
.Donations:.
            Bitcoin: .bc1qch5p8rg9t88ky5kwect57u0ejws39a4hpz5rkm.
            Monero: .88AW7SHaATAft6nnbrGpFNf7Rq9pWf6umDbUpF9VA9y4abMxyhguroubRcZWyqM6EPGuSamuzWh25GtHY14YGxMBEjRXgzH.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.Login. - .
.Register. - .
.Terms of Use. - .
.API. - .
.FAQ. - .
.Feedback. - .
.REPORT ABUSE.
.
.
.
.
.Visit our friends:
                                                    .filechan.
                                                    - .LetsUpload.
.
.
.
.
.
.
.
.
.
"
25,nocookie.net,Computers Electronics and Technology > File Sharing and Hosting,+1,00:02:16,2.15,70.55%,file-sharing-and-hosting,
26,ibb.co,Computers Electronics and Technology > File Sharing and Hosting,+2,00:02:10,2.49,62.26%,file-sharing-and-hosting,"free image hosting, image uploader, forum image hosting, image upload mod, image host, photo sharing, upload pictures"
27,proxyrarbg.org,Computers Electronics and Technology > File Sharing and Hosting,-1,00:06:57,12.99,18.36%,file-sharing-and-hosting,"Torrents , films , download, RARBG Rarbg Index page"
28,k2s.cc,Computers Electronics and Technology > File Sharing and Hosting,+4,00:05:15,4.41,48.88%,file-sharing-and-hosting,Keep2Share.Welcome to Keep2Share.Check your browser settings. Make sure JavaScript is enabled..If the problem is not solved contact support .https://help.k2s.cc/.Loading...
29,torrentgalaxy.to,Computers Electronics and Technology > File Sharing and Hosting,-1,00:04:57,4.87,32.62%,file-sharing-and-hosting,TorrentGalaxy torrent galaxy magnet movies tv
30,mp3stalkers.com,Computers Electronics and Technology > File Sharing and Hosting,+9,00:01:01,1.82,71.14%,file-sharing-and-hosting,
31,snapinsta.app,Computers Electronics and Technology > File Sharing and Hosting,-3,00:02:53,2.70,44.01%,file-sharing-and-hosting,"
.
.
.Just a moment....
.
.
.
.
.
.
.
.
.
.
.
            snapinsta.app
        .
.
            Checking if the site connection is secure
        .
.
.
.
.
.
.
.
                        Enable JavaScript and cookies to continue
                    .
.
.
.
.
.
            snapinsta.app needs to review the security of your connection before proceeding.
        .
.
.
.
.
.
.
.
.
.
.
.Ray ID: .77784dca8ca50c7b.
.
.Performance & security by .Cloudflare.
.
.
.
.
"
32,pastelink.net,Computers Electronics and Technology > File Sharing and Hosting,+3,00:02:50,2.83,58.25%,file-sharing-and-hosting,Pastelink.net - Anonymously publish text with hyperlinks enabled.
33,readthedocs.io,Computers Electronics and Technology > File Sharing and Hosting,+3,00:04:13,3.06,53.45%,file-sharing-and-hosting,"Read the Docs simplifies technical documentation by automating building, versioning, and hosting for you. Build up-to-date documentation for the web, print, and offline use on every version control push automatically."
34,rutor.info,Computers Electronics and Technology > File Sharing and Hosting,+2,00:05:24,7.03,23.78%,file-sharing-and-hosting,
35,fmmods.com,Computers Electronics and Technology > File Sharing and Hosting,-23,00:02:38,2.58,55.38%,file-sharing-and-hosting,"Discover a world of apps, explanations, tutorials and how-to-use! All in one place! From FMWA to other apps, we've got it all!"
36,yt2mp3.info,Computers Electronics and Technology > File Sharing and Hosting,-12,00:03:03,3.07,55.22%,file-sharing-and-hosting,"youtube,mp3,converter,downloader,online tool,youtube to mp3,320kbps,128kbps,256kbps,192kbps,64kbps,32kbps,high qualty,audio listen and download,youtube video mp3,yt to mp3"
37,oko.sh,Computers Electronics and Technology > File Sharing and Hosting,-1,00:02:47,5.31,30.08%,file-sharing-and-hosting,"insurance,healthcare,attorney,medical,lawsuits,business,finance,economics,consultant,consultancy,marketing"
38,file-upload.com,Computers Electronics and Technology > File Sharing and Hosting,-1,00:02:49,4.17,55.92%,file-sharing-and-hosting," file sharing, file upload, pay per download, fileshare, upload video file, file upload website, file upload site, upload file direct link, file sharing service, file sharing software, ppd sites, best ppd sites, pay per download sites"
39,turbobit.net,Computers Electronics and Technology > File Sharing and Hosting,+1,00:05:55,4.20,29.64%,file-sharing-and-hosting,"Free cloud storage, file cloud, file share, online storage, free file sharing, file sharing sites, secure cloud storage, share files online, Online file storage, file hosting, file server, store files"
40,psa.pm,Computers Electronics and Technology > File Sharing and Hosting,-3,00:03:44,3.13,48.71%,file-sharing-and-hosting,The Official Homepage
41,ufacw.com,Computers Electronics and Technology > File Sharing and Hosting,+2,00:04:29,5.87,12.52%,file-sharing-and-hosting,Home - ufacw.com
42,dl-protect.net,Computers Electronics and Technology > File Sharing and Hosting,=,00:05:18,6.06,6.94%,file-sharing-and-hosting,"
.
.
.
.Protect your links.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.Raccourcisseur d'URL, Protecteur d'URL.
.Raccourcissez vos URL rapidement et sans inscription nécessaire.
.
.
.
.
.Si vous rencontrez des problèmes pour télécharger, veuillez désactiver votre bloqueur de publicité..
.
.
.
.
.
.
.
.
.Entrez vos URLs dans le champs ci-dessous.
.Une URL par ligne, 20 URL Max.
.Please enable your javascript.
.
.
.Urls :.
.
.
.
.
.
.
.Aucune Protection.
.Captcha.
.Mot de passe.
.
.
.
.
.Mot de passe :.
.
.
.
.
.
.Captcha :.
.
.
.
.
.Générer.
.
.
.
.
.
.
.
.
.
.
.
.
.
.dl-protect.net. © 2020 - L'utilisation de .dl-protect.net. à des fins illégales est interdite..
.
.
.
.
"
43,mexa.sh,Computers Electronics and Technology > File Sharing and Hosting,=,00:06:43,3.74,24.50%,file-sharing-and-hosting,"
.
.
.
. . .
.
.Attention Required! | Cloudflare.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.Please enable cookies..
.
.
.Sorry, you have been blocked.
.You are unable to access. mexa.sh.
.
.
.
.
.
.
.
.
.
.
.
.Why have I been blocked?.
.This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data..
.
.
.What can I do to resolve this?.
.You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page..
.
.
.
.
.
.Cloudflare Ray ID: .77784df42f608ef2.
.•.
.
      Your IP:
      .Click to reveal.
.213.130.92.70.
.•.
.
.Performance & security by. .Cloudflare.
.
.
.
.
.
.
.
.
"
44,pirate-bays.net,Computers Electronics and Technology > File Sharing and Hosting,-11,00:01:43,1.83,67.89%,file-sharing-and-hosting,"The Pirate Bay is the greatest BitTorrent site. Download music, movies, games, software and much more."
45,dytt8.net,Computers Electronics and Technology > File Sharing and Hosting,-13,00:01:32,3.61,27.05%,file-sharing-and-hosting,
46,onlinevideoconverter.pro,Computers Electronics and Technology > File Sharing and Hosting,-9,00:02:06,3.06,35.51%,file-sharing-and-hosting,"Convert online videos to .mp3, .mp4 and other formats in high quality with OVC. 🔥 Online Video Converter doesn't require installation on a PC, conversion takes 3 clicks!"
47,rentry.co,Computers Electronics and Technology > File Sharing and Hosting,+22,00:01:43,3.81,40.01%,file-sharing-and-hosting,"pastebin, markdown, publishing, markdown pastebin, markdown from command line"
48,postimg.cc,Computers Electronics and Technology > File Sharing and Hosting,-10,00:02:39,2.93,57.16%,file-sharing-and-hosting,"free image hosting, forum image hosting, phpbb image mod, phpbb upload mod, image upload mod, image host, sites, forums, picture hosting, photo sharing, image upload"
49,thepiratebay10.org,Computers Electronics and Technology > File Sharing and Hosting,-2,00:04:04,5.56,24.05%,file-sharing-and-hosting,"mp3, avi, bittorrent, torrent, torrents, movies, music, games, applications, apps, download, upload, share, kopimi, magnets, magnet"
50,ddownload.com,Computers Electronics and Technology > File Sharing and Hosting,-4,00:03:33,2.44,64.99%,file-sharing-and-hosting,"file upload,share files,free upload,File hosting, file sharing, file upload, free file sharing, upload files, large file transfer, upload file, send this file, free file hosting, online file storage, sending large files, send large files free, send files, big file transfer, free file transfer,file uploader,free file sharing site, free file upload, file upload site, file sharing free, mp3 upload, upload large files, file share website, upload a file, file hosting sites,free file storage, free upload site, upload files free, large file sharing, file share free,file storage online, online file storage free"
