rank,website,category,change,avg_visit_duration,pages_per_visit,bounce_rate,vertical,keywords
1,espn.com,Sports > Other Sports,=,00:09:57,3.84,41.37%,sports,"Visit ESPN to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, MLB, NBA, College Football, NCAA Basketball and more."
2,cricbuzz.com,Sports > Fantasy Sports,=,00:08:13,4.74,38.53%,sports,"Get Live Cricket Scores, Scorecard, Schedules of International and Domestic cricket matches along with Latest News, Videos and ICC Cricket Rankings of Players on Cricbuzz."
3,marca.com,Sports > Other Sports,-1,00:06:23,3.41,48.70%,sports,"La mejor información deportiva en castellano actualizada minuto a minuto en noticias, vídeos, fotos, retransmisiones y resultados en directo."
4,chapmanganato.com,Sports > Soccer,=,00:21:02,9.42,24.98%,sports,"Manga, Read Manga Online, Read Manga, Manga Online, Manga Scans, Free Manga, Manganato"
5,as.com,Sports > Other Sports,=,00:05:47,2.58,51.96%,sports,"Últimas noticias de deportes en el principal diario deportivo en español.  Noticias y vídeos de fútbol, baloncesto, fórmula 1, retransmisiones en directo, crónicas y estadísticas con AS.com"
6,espncricinfo.com,Sports > Other Sports,-3,00:07:50,3.32,39.47%,sports,"cricket,scores,news,matches,schedule,videos,stats,squads,points table,county cricket,the ashes,west indies v india,tnpl"
7,fifa.com,Sports > Soccer,+54,00:02:51,4.16,49.89%,sports,"The official site of the international governing body of football with news, national associations, competitions, results, fixtures, development, organisation, world rankings, statistics, the International Football Association Board, history, laws of the game, futsal, publications, downloads, and contact details."
8,betman.co.kr,Sports > Baseball,+11,00:07:25,3.04,16.29%,sports,
9,livescore.com,Sports > Soccer,-2,00:06:36,4.77,38.32%,sports,"Get Live Football Scores and Real-Time Football Results with LiveScore! We cover all Countries, Leagues and Competitions in unbeatable detail. Click Now!"
10,kooora.com,Sports > Soccer,+3,00:05:15,3.50,36.29%,sports,كووورة: الموقع العربي الرياضي الأول
11,sports.yahoo.com,Sports > Other Sports,-3,00:02:50,2.05,59.88%,sports,"
.
.
.Yahoo е част от семейството от марки на Yahoo.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
. . . . . .          guce. .
.
.
.Вашата информация, Вашето преживяване.
.
.    Ние, Yahoo, сме част от семейството от марки на .Yahoo..
.
.    С щракването върху „.Приемане на всички.“ се съгласявате, че Yahoo и .нашите партньори. ще обработват личната Ви информация и ще използват технологии, като например бисквитки, за да показват персонализирани реклами и съдържание, както и за измерване на реклами и съдържание, анализи за аудитория и разработка на продукти.
.
.Личната информация, която може да бъде използвана.
.
.Информация за устройството Ви и интернет връзката Ви, например IP адреса Ви.
.Дейности по сърфиране и търсене, докато сте използвали уеб сайтовете и приложенията на Yahoo.
.    Вашето .точно местоположение.
.
.
.    Щракнете върху „.Управление на настройките.“ за повече информация и за да управлявате избора си. Можете да промените предпочитанията си по всяко време, като посетите .своите контроли за поверителност.. Научете повече за това как използваме информацията Ви в нашата .политика за поверителност. и .политика за бисквитки..
.
.
.
.
.
.
.
.
                Приемане на всички
    .
.Управление на настройките.
.
.
.
.
.
.Отиди в края
                    .
.
.
.
.
.
.
.
.
.
.
.
.
"
12,diretta.it,Sports > Other Sports,-3,00:14:15,14.14,31.41%,sports,"risultati in tempo reale, risultati calcio, calcio in diretta, partite, campionato, tempo reale, diretta, live score, goal, calcio live, risultati serie a"
13,goal.com,Sports > Soccer,+7,00:02:08,3.15,60.55%,sports,"The latest football news, live scores, results, rumours, transfers, fixtures, tables and player profiles from around the world, including World Cup."
14,cbssports.com,Sports > Other Sports,-3,00:03:39,2.62,53.49%,sports,"CBS Sports features live scoring, news, stats, and player info for NFL football, MLB baseball, NBA basketball, NHL hockey, college basketball and football."
15,mundodeportivo.com,Sports > Other Sports,-1,00:04:43,2.93,55.10%,sports,"Las noticias del FC Barcelona y del deporte hoy en MD: resultados de fútbol, partidos en directo, Real Madrid, Fórmula 1, motogp, Cristiano, Messi y más."
16,championat.com,Sports > Other Sports,=,00:04:41,2.86,46.95%,sports,"Чемпионат — все самые свежие новости спорта, видео, фото. Чемпионаты мира, Европы. Чемпионаты по футболу, хоккею, баскетболу и др. видам спорта. Календари игр, обзоры матчей и турнирные таблицы. Онлайн трансляции матчей."
17,nfl.com,Sports > American Football,-6,00:04:18,3.42,44.57%,sports,"The official source for NFL News, NFL video highlights, Fantasy Football, game-day coverage, NFL schedules, stats, scores & more."
18,lequipe.fr,Sports > Other Sports,=,00:05:05,3.71,40.36%,sports,"Le sport en direct sur L'Équipe. Les informations, résultats et classements de tous les sports. Directs commentés, images et vidéos à regarder et à partager"
19,depor.com,Sports > Other Sports,+29,00:02:07,2.20,50.61%,sports,"Noticias, Depor, Peru, Mundo, Deportes, Internacional, Tecnologia, Diario, Cultura, Ciencias, Economía, Opinión"
20,sports.ru,Sports > Other Sports,-1,00:05:30,4.70,44.05%,sports,"спорт, футбол, хоккей, баскетбол, теннис, биатлон, бокс, формула-1, F1"
21,sofascore.com,Sports > Other Sports,-5,00:09:19,3.52,57.73%,sports,"Football, livescore, live scores, sofascore, results, sofa score"
22,tycsports.com,Sports > Other Sports,+31,00:04:07,2.75,52.33%,sports,"TyC Sports, TyCSports.com, TyC, noticias, videos, goles, mundial, futbol, primera, ascenso, selecciÃ³n, mundial, tenis, basquet, autos, rugby, polideportivo, copa argentina, messi, superliga, del potro, fixture, boca, river, mercado de pases
"
23,skysports.com,Sports > Other Sports,-4,00:03:31,2.72,52.77%,sports,"Sky, Sports, news, sport, breaking, latest, football, golf, rugby, wwe, boxing, tennis, cricket, England, live, scores, fixtures, results, watch, tv, online, Premier, League, competitions, blogs, transfers, preview, review, Wenger, Arsenal, Manchester, United, City, Chelsea, Liverpool, Benitez, Ancelotti, Mancini, Spurs, Redknapp, Andy, Gray, Martin, Tyler, Georgie, Thompson, Millie, Clode, Soccer, AM, Soccerette, Hayley, McQueen"
24,hupu.com,Sports > Other Sports,-7,00:07:59,7.58,15.94%,sports,"虎扑,NBA,足球,英超,LPL"
25,sportskeeda.com,Sports > Other Sports,-5,00:01:15,2.02,66.48%,sports,"sports news, sports news india, football news, cricket news, tennis news, basketball news, latest sports news, latest sports news india, latest football news, latest cricket news, latest tennis news, latest basketball news, sports news headlines, news update sports, sportskeeda sports editorial, WWE results and rumours, latest cricket scores and updates, sports match schedule"
26,foxsports.com,Sports > Other Sports,+103,00:02:52,2.91,44.57%,sports,"Watch FOX Sports and view live scores, odds, team news, player news, streams, videos, stats, standings & schedules covering NFL, MLB, NASCAR, WWE, NBA, NHL, college sports & more!"
27,bolavip.com,Sports > Other Sports,-1,00:00:38,1.63,44.07%,sports,"Todas las noticias deportivas en Bolavip: Champions League, Copa Libertadores, Copa América, Copa del Mundo, Playoffs de la NBA, National Football League y más. Estadísticas y Resultados EN VIVO."
28,nba.com,Sports > Basketball,+5,00:03:54,3.60,47.92%,sports,"The official site of the National Basketball Association. Follow the action on NBA scores, schedules, stats, news, Team and Player news."
29,gazzetta.it,Sports > Soccer,-7,00:09:17,3.51,44.75%,sports,"gazzetta, gazzetta dello sport, sport news, notizie sportive, notizie di sport, sport, calcio, calciomercato, basket, formula uno, f1, motomondiale, ciclismo, tennis, notizie di calcio, news calciomercato, NBA"
30,ole.com.ar,Sports > Other Sports,-1,00:06:53,3.02,56.97%,sports,"mundial 2022, qatar, futbol, primera, ascenso, selección, mundial, tenis, basquet, autos, rugby, polideportivo, copa argentina, messi, superliga, fixture, boca, river, mercado de pases"
31,varzesh3.com,Sports > Soccer,+4,00:06:06,3.85,34.44%,sports,پایگاه اطلاع رسانی ورزشی برای فارسی زبانان كه اخبار حوزه ورزش (فوتبال،والیبال ،بسكتبال و...)ونتایج بازیها و جداول لیگ های ورزشی را بصورت زنده ارائه می کند
32,sport.es,Sports > Other Sports,-13,00:05:45,3.30,49.49%,sports,"noticias, informaciÃ³n , actualiadad, vÃ­deos, opiniÃ³n, fc barcelona, barsa, barÃ§a, barca, leo messi , messi, real madrid, madrid, liga , baloncesto, deporte, motor"
33,si.com,Sports,=,00:01:21,1.86,70.94%,sports,"Sports Illustrated, SI.com provides sports news, expert analysis, highlights, stats and scores for the NFL, NBA, MLB, NHL, college football, soccer, fantasy, gambling and more"
34,flashscore.com,Sports > Soccer,-3,00:10:37,12.53,35.98%,sports,"Football live scores page on Flashscore.com offers all the latest football results from World Cup 2022 and more than 1000+ football leagues all around the world including EPL, LaLiga, Serie A, Bundesliga, UEFA Champions League and more. Find all today's/tonight's football scores on Flashscore.com.<br />
"
35,kicker.de,Sports > Soccer,-8,00:06:17,4.19,39.96%,sports,Alle News aus dem Fußball und der Welt des Sports
36,wplay.co,Sports > Soccer,-1,00:06:58,4.54,32.71%,sports,"Wplay.co Casa de Apuestas deportivas en Colombia ✅ Regístrate y obtén bono de bienvenida para apuestas online, Aplican TyC | Autoriza Coljuegos."
